"Image","Chemical Name","CAS Number","Latest Process","PublicParticipation","Open forPublic Comments"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5363377&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","(Z)-8-Dodecen-1-yl acetate","28079-04-1","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diethanolamine dodecylbenzenesulfonate     (Data Submitter Rights)","26545-53-9","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=3032792&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diethyl 4,4'-o-phenylenebis(3-thioallophanate)","23564-06-9","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=4284&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diethyl toluamide","134-62-3","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diethyl-2-(4-methylbenzyloxy)ethylamine","","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=8117&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diethylene glycol ","111-46-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=8134&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diethylene glycol monomethyl ether","111-77-3","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diethylethanolamine 2,4-dichlorophenoxyacetate","53404-34-5","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=86173&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Difenoconazole","119446-68-3","Registered","<img src=""cswu/r/files/static/v5Y/tick.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=39424&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Difenzoquat methyl sulfate","43222-48-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=91771&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Difethialone","104653-34-1","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=37123&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diflubenzuron","35367-38-5","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6125184&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diflufenzopyr","109293-97-2","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dihydroazadirachtin","108189-58-8","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=3015073&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diiodomethyl p-chlorophenyl sulfone","20018-12-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62738&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diiodomethyl p-tolyl sulfone","20018-09-1","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=7958&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diisobutyl ketone","108-83-8","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=44154631&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diisobutylphenoxyethanol","53466-89-0","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=23667639&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dikegulac","52508-35-7","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=91744&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dimethenamid","87674-68-8","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=41385&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dimethipin","55290-64-7","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=3082&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dimethoate","60-51-5","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5463781&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dimethomorph","110488-70-5","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6265&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dimethrin","70-38-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6433156&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dimethyl 3-hydroxyglutaconate dimethyl phosphate","122-10-1","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=8554&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dimethyl phthalate (SEE COMMENTS) (No longer approved for nonfood use) ","131-11-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=679&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dimethyl sulfoxide","67-68-5","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62038&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dimethylamine 2-(2,4-dichlorophenoxy)propionate","53404-32-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62462&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dimethylamine 4-(2,4-dichlorophenoxy)butyrate","2758-42-1","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6440728&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diniconazole","83657-18-5","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=34468&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dinitramine","29091-05-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6432408&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dinocap","39300-45-3","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6950&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dinoseb","88-85-7","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=197701&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dinotefuran","165252-70-0","Registration Review","<img src=""cswu/r/files/static/v5Y/tick.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6531&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dioxathion","78-34-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6719&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diphacinone","82-66-6","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=23707509&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diphacinone, sodium salt","42721-99-3","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=13728&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diphenamid","957-51-7","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6837&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diphenylacetonitrile","86-29-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=11487&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diphenylamine   (Not selected for InertFinder)","122-39-4","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=24450&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dipotassium phosphate","60704-91-8; 7758-11-4","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=20105&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dipropetryn","4147-51-7","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6537503&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dipropylene glycol","25265-71-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6795&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diquat","2764-72-9","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6794&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diquat dibromide","85-00-7","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Distilled cubeb oil","8007-87-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=3118&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Disulfoton","298-04-4","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=21207&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Ditalimfos","5131-24-8","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=18771&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dithianon","3347-22-6","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=91757&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dithiopyr","97886-45-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=3120&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Diuron","330-54-1","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=9319&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dodecanoic acid, 2-thiocyanatoethyl ester","301-11-1","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=167573&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dodecanoic acid, compd with 2-aminoethanol  (1:1)","16830-40-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62524&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dodecanoic acid, pentachlorophenyl ester","3772-94-9","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5283295&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dodecen-1-ol, (Z)-","40642-40-8","Registered","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dodecylamine lactate","7491-20-5","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=170823&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dodecylammonium sulfate","50291-24-2","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=84095&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dodecylbenzyl trimethyl ammonium chloride","1330-85-4","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=17110&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dodine","112-65-2; 15880-99-6; 2439-10-3; 51426-08-5; 96923-04-5","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dried blood","68911-49-9","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dried fermentation solids & solubles of myrothecium verrucaria","","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Dried fermentation solids and solubles resulting from fermentation of Trichoderma harzianum isolate T-39, containing T-39 fungus propagules, as either conidia or mycelia","","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=41091&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","EDTA, copper salt","12276-01-6","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=3589&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Heptachlor","76-44-8","Reregistration","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62119&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Bromoxynil heptanoate","56634-95-8","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=8303&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Hexachloroacetone","116-16-5","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=6478&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Hexachlorocyclopentadiene","77-47-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=66461&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Hexaconazole","79983-71-4","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=91741&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Hexaflumuron","86479-06-3","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=8089&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Hexamethyltetracosane","111-01-3","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=62756&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Hexanoic acid, 2-ethyl-, copper salt","22221-10-9","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=39965&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Hexazinone","51235-04-2","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=13218777&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Hexythiazox","78587-05-0","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""cswu/r/files/static/v5Y/no_chem_image.jpg"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Hirsutella tompsonii (Fisher) 300,000 spores per gram of product.","","None","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=5281875&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Hydramethylnon","67485-29-4","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
"<img src=""http://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=313&loc=ec_rcs"" style=""border: 4px solid #CCC; -moz-border-radius: 4px; -webkit-border-radius: 4px;""/>","Hydrochloric acid","7647-01-0","Registration Review","<img src=""cswu/r/files/static/v5Y/dash.png""/>","<img src=""cswu/r/files/static/v5Y/dash.png""/>"
